Bands,Rows,TP,FP,FN,Precision,Recall,F1
40,42,134,2,58,0.985294,0.697917,0.817073
35,69,72,0,120,1.000000,0.375000,0.545455
40,48,98,0,94,1.000000,0.510417,0.675862
40,51,96,2,96,0.979592,0.500000,0.662069
40,54,80,4,112,0.952381,0.416667,0.579710
40,57,88,2,104,0.977778,0.458333,0.624113
40,63,76,0,116,1.000000,0.395833,0.567164
40,66,68,0,124,1.000000,0.354167,0.523077
253,66,96,0,96,1.000000,0.500000,0.666667
45,42,138,2,54,0.985714,0.718750,0.831325
40,69,72,0,120,1.000000,0.375000,0.545455
45,48,100,0,92,1.000000,0.520833,0.684932
45,51,104,2,88,0.981132,0.541667,0.697987
45,54,82,4,110,0.953488,0.427083,0.589928
45,57,92,2,100,0.978723,0.479167,0.643357
45,63,76,0,116,1.000000,0.395833,0.567164
45,66,68,0,124,1.000000,0.354167,0.523077
253,69,82,0,110,1.000000,0.427083,0.598540
50,42,142,4,50,0.972603,0.739583,0.840237
45,69,72,0,120,1.000000,0.375000,0.545455
50,48,104,0,88,1.000000,0.541667,0.702703
50,51,106,2,86,0.981481,0.552083,0.706667
50,54,82,4,110,0.953488,0.427083,0.589928
50,57,94,2,98,0.979167,0.489583,0.652778
50,63,76,0,116,1.000000,0.395833,0.567164
55,42,146,4,46,0.973333,0.760417,0.853801
50,66,68,0,124,1.000000,0.354167,0.523077
55,48,106,0,86,1.000000,0.552083,0.711409
50,69,72,0,120,1.000000,0.375000,0.545455
55,51,106,2,86,0.981481,0.552083,0.706667
55,54,82,4,110,0.953488,0.427083,0.589928
55,57,94,2,98,0.979167,0.489583,0.652778
60,42,150,4,42,0.974026,0.781250,0.867052
55,63,78,0,114,1.000000,0.406250,0.577778
55,66,68,0,124,1.000000,0.354167,0.523077
60,48,72,0,120,1.000000,0.375000,0.545455
60,51,108,2,84,0.981818,0.562500,0.715232
60,54,82,4,110,0.953488,0.427083,0.589928
